school,学校,,
want,ほしい,,
time,時間,,
year,年,,
go,行く,,
look,見る,,
day,日 / 日中,,
say,言う,,
man,"男性,人間",,
world,世界,,
some,いくつかの,,
all,すべての,,
like,好む,,
country,国,,
very,非常に,,
word,単語,,
know,知っている,,
only,唯一の,,
house,家,,
name,名前,,
many,数多くの,,
just,ちょうど,,
friend,友だち,,
mother,母,,
family,家族,,
make,作る,,
get,得る,,
end,終わり,,
night,夜,,
little,(量が)ほとんどない,,
story,物語,,
out,外へ,,
much,多量の,,
boy,男の子,,
see,見える,,
water,水,,
come,来る,,
number,数,,
any,少しも ,,
group,グループ,,
have,持っている,,
good,よい,,
child,子ども,,
book,本,,
take,取る,,
room,部屋,,
long,長い,,
money,お金,,
week,週,,
call,呼ぶ,,
city,都市,,
right,右の,,
door,ドア,,
new,新しい,,
ask,たずねる,,
job,仕事,,
give,与える,,
student,生徒・学生,,
area,地域,,
work,仕事,,
game,試合,,
small,小さい,,
high,高い,,
paper,紙,,
find ,見つける,,
young ,若い ,,
letter ,手紙,,
picture ,写真,,
tree ,木 ,,
live ,住む ,,
kind ,親切な,,
member ,一員 ,,
party ,パーティー ,,
sound ,音,,
clear ,明らかな,,
talk ,話す ,,
table ,テーブル ,,
window ,窓 ,,
easy ,簡単な ,,
bed ,ベッド ,,
food ,食べ物 ,,
great ,すばらしい ,,
age ,年齢 ,,
help ,助ける ,,
change ,変化 ,,
put ,置く,,
something ,何か ,,
animal ,動物 ,,
morning,"朝,午前",,
become,になる,,
another,もう1つの,,
class,学級、授業,,
air,空気,,
feel,感じる,,
nothing,何も･･･ない,,
dream,夢、夢を見る,,
play,遊ぶ,,
star,星,,
town,町,,
start,始める,,
every,あらゆる,,
plan,計画、計画する,,
anything,〈否定文で〉何も,,
doctor,医者,,
wife,妻,,
back,後ろへ,,
son,息子,,
love,大好きである,,
center,中心,,
leave,出発する,,
few,(数が)ごくわずかの,,
test,試験,,
now,今,,
move,動く,,
road,道路,,
everything,何でも,,
fire,"火,火事",,
keep,保つ,,
parent,親,,
shop,店,,
also,~もまた,,
chance,機会,,
woman,女性,,
open,開ける,,
hear,聞く,,
girl,女の子,,
father,父,,
street,通り,,
never,一度も･･･ない,,
king,王,,
both,両方,,
sea,海,,
building,建物,,
run,走る,,
around,~の周りに,,
study,勉強する,,
wall,壁,,
too,~もまた,,
each,それぞれの,,
hospital,病院,,
write,書く,,
news,ニュース,,
walk,歩く,,
brother,兄弟,,
stop,止まる,,
answer,、答え,,
close,閉じる,,
husband,夫,,
enough,十分な,,
daughter,娘,,
anyone,〈否定文で〉だれも,,
sister,姉妹,,
read,読む,,
full,いっぱいの,,
adult,大人,,
nobody,だれも･･･ない,,
speak,話す,,
uncle,おじ,,
wind,風,,
aunt,おば,,
big,大きい,,
stand,立つ,,
heavy,重い,,
color,色,,
music,音楽,,
free,自由な,,
art,芸術,,
baby,赤ん坊,,
sun,太陽,,
watch,~を見る,,
ship,船,,
beautiful,美しい,,
nurse,看護師,,
glass,コップ、ガラス,,
ring,輪,,
dark,暗い,,
bring,持ってくる,,
river,川,,
television,テレビ,,
cold,寒い,,
movie,映画,,
box,箱,,
stone,石,,
fast,速い,,
kill,殺す,,
eat,食べる,,
clean,きれいにする,,
season,季節,,
card,カード,,
warm,暖かい,,
begin,始める,,
sport,スポーツ,,
cut,切る,,
fruit,果物,,
wide,(幅が)広い,,
meat,肉,,
pet,ペット,,
buy,買う,,
sit,すわる,,
clothes,衣服,,
train,列車,,
please,どうぞ,,
kid,子ども,,
cover,おおう,,
station,駅,,
happy,幸福な,,
garden,庭,,
alone,1人で,,
everyone,みんな,,
floor,床,,
enjoy,楽しむ,,
club,クラブ,,
page,ページ,,
listen,聞く,,
tea,茶,,
nice,よい,,
seat,席,,
park,公園,,
break,こわす,,
arrive,到着する,,
sorry,申し訳なく思って,,
chair,イス,,
mountain,山,,
fine,すばらしい,,
join,参加する,,
drink,飲む ,,
cup,カップ,,
ball,ボール,,
flower,花,,
bag,カバン,,
glad,うれしい,,
hello,こんにちは,,
finish,終わる,,
bottle,ビン,,
key,カギ,,
drive,運転する,,
egg,卵,,
map,地図,,
careful,注意深い,,
good-bye,さようなら,,
evening,夕方,,
bank,銀行,,
old,古い ,,
rain,雨,,
large,大きい,,
hotel,ホテル,,
afternoon,午後,,
enter,入る,,
bad,悪い,,
store,店,,
message,伝言,,
left,左の,,
hat,ぼうし,,
forest,森,,
song,歌,,
build,建てる,,
goal,目標,,
kitchen,台所,,
short,短い,,
dinner,夕食,,
low,低い ,,
corner,角 ,,
fly,飛ぶ ,,
bridge,橋,,
win,勝つ,,
desk,机,,
laugh,笑う,,
coat,上着,,
hot,暑い ,,
gate, 門,,
camera,カメラ,,
soft,やわらかい,,
knife,ナイフ,,
clock,掛け時計,,
bread,パン,,
dish,皿,,
cool,すずしい,,
apple,リンゴ,,
dirty,汚い,,
moon,(天体の)月,,
well,上手に ,,
hole,穴,,
address,住所,,
here,ここに,,
sky,空,,
ice,氷,,
fill,満たす,,
radio,ラジオ,,
fun,楽しみ,,
even,･･･でさえ,,
advice,助言,,
home,家に,,
sell,売る,,
restaurant,レストラン,,
dry,乾いた,,
coffee,コーヒー,,
again,再び,,
lesson,授業,,
milk,牛乳,,
teach,(学科などを)教える,,
lake,湖,,
shoe,(片方の)くつ,,
quiet,静かな,,
beach,浜,,
camp,キャンプ,,
ticket,切符,,
really,本当に,,
push,押す,,
favorite,お気に入り,,
breakfast,朝食,,
gift,贈り物,,
choose,選ぶ,,
yesterday,昨日,,
wing,つばさ,,
dance,踊る,,
birthday,誕生日,,
angry,怒った,,
snow,雪,,
salt,塩,,
lunch,昼食,,
always,常に,,
magazine,雑誌,,
classroom,教室,,
away,離れて,,
sing,歌う,,
pilot,パイロット ,,
concert,コンサート,,
late,遅く,,
roof,屋根,,
often,しばしば,,
sugar,砂糖,,
jump,跳ぶ,,
bath,入浴,,
tall,背の高い,,
cake,ケーキ,,
orange,オレンジ,,
early,早い,,
wash,洗う,,
shirt,シャツ,,
pen,ペン,,
chocolate,チョコレート,,
busy,いそがしい,,
today,今日,,
curtain,カーテン,,
airport,空港,,
smoke,煙,,
cap,(縁なしの)ぼうし,,
tired,疲れた,,
magic,魔法,,
piano,ピアノ,,
soup,スープ,,
tomorrow,明日,,
cook,料理する,,
rice,米,,
medal,メダル,,
button,ボタン,,
lucky,幸運な,,
guitar,ギター,,
far,遠くに,,
hard,一生懸命に,,
soccer,サッカー,,
juice,ジュース,,
kick,ける,,
hungry,空腹の,,
dictionary,辞書,,
drum,ドラム,,
sandwich,サンドイッチ,,
pencil,えんぴつ,,
together,いっしょに,,
glove,手袋 ,,
swim,泳ぐ,,
textbook,教科書,,
everyday,毎日の,,
umbrella,傘,,
sometimes,時々,,
doll,人形,,
poster,ポスター,,
sock,(片方の)くつ下,,
lend,貸す,,
notebook,ノート,,
homework,宿題,,
cute,かわいい,,
ago,(今から)~前に,,
noon,正午,,
picnic,ピクニック,,
bark,ほえる,,
racket,ラケット,,
candy,キャンディー,,
elevator,エレベーター,,
cloudy,曇った,,
eraser,消しゴム,,
hamburger,ハンバーガー,,
o'clock,~時,,
bake,焼く,,
first,最初の,,
classmate,級友,,
alphabet,アルファベット,,
zoo,動物園,,
and,そして,または,だから
or,または,そして,だから
if,もしも～なら,～の時,なぜなら～だから
before,～の後,～の前,～の時
after,～の前,～の後,～の時
so　・・・,だから・・・,・・・だから,
because,なぜなら～だから,～の時,～の後
when,～の時,なぜなら～だから,～の前
in,～の中,～の上,～の下
on,～の上,～の下,～の近く
under,～の下,～の上,～と一緒に
by,～の近く,～の下,
with,～と一緒に,～から,
to,～に向かって,～から,
for,～のために,～と一緒に,
from,～から,～に向かって,
